AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
-3.217,7.441,3.665,-0.10699999999999998,-0.14600000000000005,-0.03199999999999999,0.0
-6.5569999999999995,7.911,-3.136,0.15600000000000003,0.30700000000000005,-0.29999999999999993,0.0
-0.364,5.99,4.651000000000001,-0.1439999999999999,-0.812,-0.5890000000000001,0.0
-1.8800000000000001,9.379999999999999,1.738,0.019,-0.11999999999999997,0.16500000000000004,0.0
-2.693,7.337000000000001,4.325,-0.018,-0.384,0.10600000000000005,0.0
-3.1529999999999996,7.915000000000001,3.343,-0.163,0.12499999999999997,0.015999999999999993,0.0
-2.167,8.85,2.59,-0.084,-0.024999999999999994,-0.020999999999999998,0.0
-3.3369999999999997,7.617000000000002,4.2219999999999995,-0.41200000000000003,0.503,0.35100000000000003,0.0
-3.443,6.9719999999999995,4.7010000000000005,-0.118,0.013000000000000006,0.137,0.0
-2.317,8.753,2.739,-0.064,-0.040999999999999995,-0.03300000000000001,0.0
-3.051,8.488,2.679,-0.10300000000000001,0.051000000000000004,-0.04,0.0
-2.744,7.8709999999999996,4.205,-0.229,0.06100000000000002,0.10700000000000003,0.0
-2.132,8.821,3.1979999999999995,-0.329,-0.04,0.039999999999999994,0.0
-2.4720000000000004,8.167,2.403,-0.279,0.08500000000000003,0.21000000000000005,0.0
-2.827,8.223,4.113,0.012999999999999956,0.04199999999999997,-0.07700000000000001,0.0
-3.122,8.244,4.76,-0.015999999999999983,0.10099999999999998,-0.186,0.0
-0.8709999999999999,6.5,5.219,0.32700000000000007,-0.40599999999999997,-0.16899999999999998,0.0
-4.508,4.9479999999999995,1.568,0.21000000000000002,-0.21300000000000008,-0.496,1.0
-5.279,4.877,-5.093,0.19599999999999998,-0.683,-0.299,0.0
-3.5149999999999997,6.989999999999999,-3.0020000000000002,-0.23099999999999996,-0.06600000000000009,0.014999999999999972,1.0
-2.6130000000000004,8.991,1.419,0.009000000000000017,-0.11500000000000002,0.10800000000000012,0.0
-3.879,7.156999999999999,3.7920000000000003,0.195,-0.13400000000000004,-0.1009999999999999,0.0
-2.775,7.95,2.973,-0.434,0.5149999999999999,0.176,0.0
-3.091,8.186,4.795,-0.024999999999999984,0.14299999999999996,-0.16399999999999998,0.0
-2.759,7.280999999999999,4.88,-0.24099999999999996,-0.02599999999999999,0.07000000000000003,0.0
-3.343,7.844999999999999,3.335,0.09499999999999993,-0.6200000000000001,-0.203,0.0
-2.662,7.765000000000001,4.5520000000000005,-0.15699999999999997,-0.15699999999999997,0.06000000000000002,0.0
-2.44,4.4079999999999995,2.241,-0.08000000000000004,-0.04700000000000004,0.11300000000000003,1.0
-4.039,6.583000000000001,5.58,-0.24299999999999997,-0.349,0.015000000000000017,0.0
-1.652,9.111999999999998,1.328,-0.5589999999999999,0.21300000000000002,0.10900000000000003,0.0
-2.9349999999999996,8.078999999999999,3.939,-0.13700000000000004,0.19199999999999998,-0.03700000000000001,0.0
-2.7969999999999997,8.994,2.984,-0.645,0.5339999999999999,0.373,0.0
-3.141,6.839999999999999,4.718,0.011999999999999995,-0.24900000000000003,-0.23700000000000002,0.0
-3.317,7.661999999999999,3.173,-0.496,0.59,0.339,0.0
-2.825,8.171,3.439,-0.23299999999999993,0.42099999999999993,0.071,1.0
-2.811,8.004,3.6099999999999994,-0.15299999999999997,-0.191,0.12700000000000014,0.0
-2.714,7.058,4.797,-0.006999999999999984,-0.05800000000000003,-0.14899999999999988,0.0
-1.464,9.333000000000002,0.784,-0.08099999999999999,-0.017999999999999988,-0.003999999999999978,0.0
-2.586,7.970999999999999,4.316999999999999,0.07499999999999998,0.08599999999999995,-0.14899999999999997,0.0
-2.38,8.014,3.685,0.06799999999999995,0.008999999999999942,-0.20400000000000001,0.0
-2.75,8.032,3.446,-0.306,0.21999999999999997,0.075,0.0
-2.669,7.965000000000001,4.106,-0.007999999999999998,0.06300000000000001,0.025000000000000022,0.0
